"fit_time","score_time","test_RMSE","train_RMSE","test_MAE","train_MAE","test_R2","train_R2","test_r","train_r","test_Rho","train_Rho","beh","reliability_r","reliability_icc2","reliability_icc2_upper","reliability_icc2_lower"
24.909784488678,2.87007481098175,-16.1904187302952,-10.4555227186402,13.0749520572331,-8.43034436183283,-0.0027866914402148,0.589542645995163,0.161415431683188,0.893108984869419,0.162998992148455,0.895066058926095,"PicSeq_AgeAdj",0.619222463718284,0.586789275997984,0.751970046485474,0.346064794161207
24.6530846214294,2.83506597518921,-9.55696678324824,-6.01314728493461,7.92025929984298,-5.00478539790841,-0.0233602359098994,0.604744082267286,0.126970499125357,0.905937671273505,0.112641411517251,0.904981244794659,"CardSort_AgeAdj",0.543501707330075,0.515975638131324,0.698213028709872,0.273087656501381
31.9666805171967,3.99285268306732,-10.2348323703379,-6.46336042482908,8.36911521546163,-5.29520856873373,-0.0529559536676876,0.578204540678014,0.0363891276862071,0.909817354369752,0.042995523596223,0.907878812387473,"Flanker_AgeAdj",0.48464703985898,0.448776586090347,0.652946472026974,0.18298198748309
35.2594951629639,4.44758010387421,-4.63611612075576,-2.91863984599004,3.8561345050252,-2.43943219467574,0.0220171834489528,0.616821392031387,0.204011883741672,0.901250620561926,0.198212243110507,0.891233309904626,"PMAT24_A_CR",0.742891866325557,0.743082837685544,0.848868404087085,0.580693192005696
34.7812474584579,4.32809844970703,-14.1318101312293,-8.4903137902369,11.8588407676731,-7.09340556163222,0.0529734073138596,0.651897802770605,0.260786866459975,0.917552775388025,0.243243219991923,0.913169165005414,"ReadEng_AgeAdj",0.883341374201855,0.877922773370924,0.930404524044535,0.790518809028823
34.539628610611,4.28060099601746,-14.0892703078163,-8.83465870925622,10.8713782035069,-6.86111073735093,0.0916708113252231,0.64873741867818,0.319481271568042,0.913971210810555,0.299675187106698,0.892534715630417,"PicVocab_AgeAdj",0.856532035928365,0.842687270074641,0.912535724399,0.718445460334102
34.4523167037964,4.35249141693115,-21.0078298425186,-12.6721847087495,17.0536592322397,-10.244855778835,-0.0328489026154583,0.615593371608615,0.119314662664749,0.915050727867336,0.116732762414371,0.916868785675799,"ProcSpeed_AgeAdj",0.647390737750973,0.620910277705958,0.773798933546087,0.394649621383585
35.1154641628265,4.349680352211,-0.174568738200619,-0.110298445213392,0.13806520693442,-0.0866749399606565,-0.0213523807152774,0.604552219099813,0.112249672664429,0.917679849088714,0.109548711224332,0.887229150376712,"DDisc_AUC_200",0.804649370420745,0.798806321583807,0.883171063712569,0.664931504267393
35.0684942626953,4.46129459381104,-0.280593688886934,-0.173639311957252,0.240437083547608,-0.148505581770323,0.00240329857996,0.618172676681343,0.165734713544704,0.915502401637637,0.166568004155823,0.921762180350536,"DDisc_AUC_40K",0.766625432900398,0.767324831244275,0.863906773677603,0.616895894783255
35.2260506868362,4.39814029693604,-13.0157837252342,-7.9994234736244,10.4320163424642,-6.3698568304202,-0.0289164496866302,0.60818101398409,0.113062275676584,0.911819839426093,0.108157657256045,0.905367204968316,"ListSort_AgeAdj",0.740666122436106,0.725451592554795,0.839439985545689,0.547839344561593
34.5973234939575,4.25410856723785,-17.0769122521349,-10.1864838002343,13.9320384798286,-8.31439500033678,0.0134661158469042,0.640029275587254,0.204292335011125,0.910621496321189,0.191900133940641,0.913016793689698,"CogFluidComp_AgeAdj",0.740594257111573,0.650221597491046,0.829391274265438,0.247495338646569
50.3142669820785,6.50242092609406,-19.3805573554132,-12.0344196993703,15.7725788136196,-9.77727364929105,0.0671508301888393,0.645236865940194,0.282358587436747,0.906649074446722,0.25718819642632,0.903812621832559,"CogTotalComp_AgeAdj",0.931313997329105,0.872539814295688,0.955330034207776,0.389915574425687
50.0360181379318,6.38951961517334,-15.9489929490705,-9.80721778125461,12.92042244325,-7.95745359927559,0.0854724057180654,0.65439590422453,0.311385129507313,0.914436403722565,0.282577639957165,0.899672535449208,"CogCrystalComp_AgeAdj",0.903664778434634,0.892055193937919,0.941054628284334,0.800436887281925
49.8970941305161,6.44244161605835,-2.41629653827755,-1.51457160507005,1.95180908599613,-1.22593899801076,-0.0195182992039543,0.597830057771014,0.0995563280732194,0.922250851413018,0.104318253635796,0.915099395594488,"ER40_CR",0.436229716763107,0.428462784731617,0.635352695960201,0.166947020454345
49.7221711111069,6.35588083744049,-294.394800844773,-188.832442916573,232.959194703161,-148.802584316685,-0.0395316500355715,0.587043910995321,0.0707221372123903,0.913920713284323,0.0694696428826416,0.899055835545345,"ER40_CRT",0.505231293646819,0.492171993498206,0.681269538448052,0.243985214311404
34.7155542898178,4.31070819854736,-20.430523872198,-17.3261048361289,18.1286730213909,-15.7791006213757,-0.0146302372832842,0.25800886193015,0.067544423777396,0.596670748936238,0.0597593102750299,0.626990966383091,"Strength_AgeAdj",0.871893906464598,0.874047187586943,0.928128759713404,0.78420144432674
34.8739627027512,4.32749482154846,-9.83243245222882,-6.47647003518217,7.97482921848634,-5.25914147896294,-0.0392034692445932,0.551050396383544,0.0594604190703745,0.891378930897155,0.058163105155588,0.885611912021946,"Dexterity_AgeAdj",0.458017195288707,0.457521761833226,0.657765064167537,0.197830630913888
35.7724179553986,4.46689186573029,-142.226841417672,-86.7701027933722,114.163621586453,-69.3560685046385,-0.0387974025983478,0.612981233651874,0.0812603077302127,0.928176519869228,0.0777790691571514,0.922583974394082,"WM_Task_2bk_Median_RT",0.785946132908439,0.734347197701877,0.846102482108717,0.55602854367103
